IDNUM,STREET,ZONE
0,480  COLLEGE AVE,84501
1,480  COLLEGE AVE,84501
2,1452  EASTRIDGE RD,84501
3,1452  EASTRIDGE RD,84501
4,1490  EASTRIDGE RD,84501
5,1490  EASTRIDGE RD,84501
6,1495  EASTRIDGE RD,84501
7,1495  EASTRIDGE RD,84501
8,1450  SAGEWOOD RD,84501
9,1450  SAGEWOOD RD,84501
10,1450  SAGEWOOD RD,84501
11,1450  SAGEWOOD RD,84501
12,496 E 100 N,84501
13,496 E 100 N,84501
14,496 E 100 N,84501
15,590 E 100 N,84501
16,836 E 100 N,84501
17,894 E 100 N,84501
18,650 E 200 N,84501
19,650 E 200 N,84501
20,650 E 200 N,84501
21,131 E 300 N,84501
22,131 E 300 N,84501
23,635 E 300 S,84501
24,635 E 300 S,84501
25,635 E 300 S,84501
26,635 E 300 S,84501
27,635 E 300 S,84501
28,655 E 300 S,84501
29,655 E 300 S,84501
30,655 E 300 S,84501
31,1490 E 500 S,84501
32,1490 E 500 S,84501
33,1490 E 500 S,84501
34,1490 E 500 S,84501
35,1490 E 500 S,84501
36,1490 E 500 S,84501
37,1490 E 500 S,84501
38,1490 E 500 S,84501
39,1490 E 500 S,84501
40,205 E 700 S,84501
41,205 E 700 S,84501
42,1070 E 800 N,84501
43,1070 E 800 N,84501
44,1080 E 800 N,84501
45,1080 E 800 N,84501
46,120 E MAIN ST,84501
47,120 E MAIN ST,84501
48,611 N 100 E,84501
49,611 N 100 E,84501
50,447 N 200 E,84501
51,447 N 200 E,84501
52,179 N 300 E,84501
53,179 N 300 E,84501
54,350 N 400 E,84501
55,350 N 400 E,84501
56,250 N FAIRGROUNDS RD,84501
57,250 N FAIRGROUNDS RD,84501
58,250 N FAIRGROUNDS RD,84501
59,1 N 200 E,84501
60,99 N 200 E,84501
61,51 N 200 E,84501
62,101 N 200 E,84501
63,199 N 200 E,84501
64,151 N 200 E,84501
65,201 N 200 E,84501
66,313 N 200 E,84501
67,257 N 200 E,84501
68,315 N 200 E,84501
69,399 N 200 E,84501
70,357 N 200 E,84501
71,401 N 200 E,84501
72,461 N 200 E,84501
73,431 N 200 E,84501
74,463 N 200 E,84501
75,499 N 200 E,84501
76,601 N 200 E,84501
77,699 N 200 E,84501
78,651 N 200 E,84501
79,100 N 200 W,84501
80,198 N 200 W,84501
81,150 N 200 W,84501
82,300 N 250 E,84501
83,399 N 250 E,84501
84,100 N 300 E,84501
85,198 N 300 E,84501
86,150 N 300 E,84501
87,200 N 300 E,84501
88,298 N 300 E,84501
89,250 N 300 E,84501
90,300 N 300 E,84501
91,398 N 300 E,84501
92,350 N 300 E,84501
93,408 N 300 E,84501
94,498 N 300 E,84501
95,454 N 300 E,84501
96,600 N 300 E,84501
97,698 N 300 E,84501
98,650 N 300 E,84501
99,101 N 300 E,84501
100,199 N 300 E,84501
101,151 N 300 E,84501
102,201 N 300 E,84501
103,299 N 300 E,84501
104,251 N 300 E,84501
105,301 N 300 E,84501
106,325 N 300 E,84501
107,327 N 300 E,84501
108,399 N 300 E,84501
109,363 N 300 E,84501
110,401 N 300 E,84501
111,499 N 300 E,84501
112,451 N 300 E,84501
113,601 N 300 E,84501
114,699 N 300 E,84501
115,651 N 300 E,84501
116,2 N 400 E,84501
117,98 N 400 E,84501
118,50 N 400 E,84501
119,100 N 400 E,84501
120,198 N 400 E,84501
121,150 N 400 E,84501
122,200 N 400 E,84501
123,298 N 400 E,84501
124,250 N 400 E,84501
125,300 N 400 E,84501
126,398 N 400 E,84501
127,350 N 400 E,84501
128,600 N 400 E,84501
129,698 N 400 E,84501
130,650 N 400 E,84501
131,101 N 400 E,84501
132,199 N 400 E,84501
133,151 N 400 E,84501
134,201 N 400 E,84501
135,299 N 400 E,84501
136,251 N 400 E,84501
137,301 N 400 E,84501
138,399 N 400 E,84501
139,351 N 400 E,84501
140,601 N 400 E,84501
141,699 N 400 E,84501
142,651 N 400 E,84501
143,2 N 500 E,84501
144,98 N 500 E,84501
145,50 N 500 E,84501
146,300 N 500 E,84501
147,398 N 500 E,84501
148,350 N 500 E,84501
149,301 N 500 E,84501
150,359 N 500 E,84501
151,331 N 500 E,84501
152,361 N 500 E,84501
153,399 N 500 E,84501
154,300 N 500 W,84501
155,398 N 500 W,84501
156,350 N 500 W,84501
157,301 N 500 W,84501
158,399 N 500 W,84501
159,351 N 500 W,84501
160,401 N 500 W,84501
161,499 N 500 W,84501
162,451 N 500 W,84501
163,100 N 600 E,84501
164,199 N 600 E,84501
165,200 N 600 E,84501
166,298 N 600 E,84501
167,250 N 600 E,84501
168,300 N 600 E,84501
169,350 N 600 E,84501
170,326 N 600 E,84501
171,352 N 600 E,84501
172,398 N 600 E,84501
173,376 N 600 E,84501
174,1 N 600 E,84501
175,99 N 600 E,84501
176,51 N 600 E,84501
177,201 N 600 E,84501
178,299 N 600 E,84501
179,251 N 600 E,84501
180,301 N 600 E,84501
181,399 N 600 E,84501
182,351 N 600 E,84501
183,300 N 600 W,84501
184,398 N 600 W,84501
185,350 N 600 W,84501
186,301 N 600 W,84501
187,399 N 600 W,84501
188,351 N 600 W,84501
