OBJID,INADDR,INZONE,MatchAddress,Zone,Score,XCoord,YCoord,Geocoder
0,480  COLLEGE AVE, 84501,480 E COLLEGE AVE, PRICE,90.97,517017.187624,4384002.42831,Centerlines.StatewideRoads
1,480  COLLEGE AVE, 84501,480 E COLLEGE AVE, PRICE,90.97,517017.187624,4384002.42831,Centerlines.StatewideRoads
2,1452  EASTRIDGE RD, 84501,Error: Address not found,,,,,
3,1452  EASTRIDGE RD, 84501,Error: Address not found,,,,,
4,1490  EASTRIDGE RD, 84501,1490 E EASTRIDGE RD, PRICE,90.97,518171.226985,4384227.45705,Centerlines.StatewideRoads
5,1490  EASTRIDGE RD, 84501,1490 E EASTRIDGE RD, PRICE,90.97,518171.226985,4384227.45705,Centerlines.StatewideRoads
6,1495  EASTRIDGE RD, 84501,1495 E EASTRIDGE RD, PRICE,90.97,518174.773951,4384257.4275,Centerlines.StatewideRoads
7,1495  EASTRIDGE RD, 84501,1495 E EASTRIDGE RD, PRICE,90.97,518174.773951,4384257.4275,Centerlines.StatewideRoads
8,1450  SAGEWOOD RD, 84501,1450 E SAGEWOOD RD, PRICE,90.97,518091.504309,4384495.63367,Centerlines.StatewideRoads
9,1450  SAGEWOOD RD, 84501,1450 E SAGEWOOD RD, PRICE,90.97,518091.504309,4384495.63367,Centerlines.StatewideRoads
10,1450  SAGEWOOD RD, 84501,1450 E SAGEWOOD RD, PRICE,90.97,518091.504309,4384495.63367,Centerlines.StatewideRoads
11,1450  SAGEWOOD RD, 84501,1450 E SAGEWOOD RD, PRICE,90.97,518091.504309,4384495.63367,Centerlines.StatewideRoads
12,496 E 100 N, 84501,496 E 100 N, PRICE,100.0,517015.197808,4383478.55542,Centerlines.StatewideRoads
13,496 E 100 N, 84501,496 E 100 N, PRICE,100.0,517015.197808,4383478.55542,Centerlines.StatewideRoads
14,496 E 100 N, 84501,496 E 100 N, PRICE,100.0,517015.197808,4383478.55542,Centerlines.StatewideRoads
15,590 E 100 N, 84501,590 E 100 N, PRICE,100.0,517167.107908,4383477.37649,Centerlines.StatewideRoads
16,836 E 100 N, 84501,836 E 100 N, PRICE,100.0,517534.733407,4383477.81514,Centerlines.StatewideRoads
17,894 E 100 N, 84501,894 E 100 N, PRICE,100.0,517583.044497,4383471.4789,AddressPoints.AddressGrid
18,650 E 200 N, 84501,650 E 200 N, PRICE,100.0,517208.817244,4383648.90954,Centerlines.StatewideRoads
19,650 E 200 N, 84501,650 E 200 N, PRICE,100.0,517208.817244,4383648.90954,Centerlines.StatewideRoads
20,650 E 200 N, 84501,650 E 200 N, PRICE,100.0,517208.817244,4383648.90954,Centerlines.StatewideRoads
21,131 E 300 N, 84501,131 E 300 N, PRICE,100.0,516429.648296,4383867.32963,Centerlines.StatewideRoads
22,131 E 300 N, 84501,131 E 300 N, PRICE,100.0,516429.648296,4383867.32963,Centerlines.StatewideRoads
23,635 E 300 S, 84501,635 E 300 S, PRICE,100.0,517247.520459,4382864.48659,Centerlines.StatewideRoads
24,635 E 300 S, 84501,635 E 300 S, PRICE,100.0,517247.520459,4382864.48659,Centerlines.StatewideRoads
25,635 E 300 S, 84501,635 E 300 S, PRICE,100.0,517247.520459,4382864.48659,Centerlines.StatewideRoads
26,635 E 300 S, 84501,635 E 300 S, PRICE,100.0,517247.520459,4382864.48659,Centerlines.StatewideRoads
27,635 E 300 S, 84501,635 E 300 S, PRICE,100.0,517247.520459,4382864.48659,Centerlines.StatewideRoads
28,655 E 300 S, 84501,655 E 300 S, PRICE,100.0,517283.56472,4382864.26163,Centerlines.StatewideRoads
29,655 E 300 S, 84501,655 E 300 S, PRICE,100.0,517283.56472,4382864.26163,Centerlines.StatewideRoads
30,655 E 300 S, 84501,655 E 300 S, PRICE,100.0,517283.56472,4382864.26163,Centerlines.StatewideRoads
